id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19024746,38,-0.158035,-0.0676417,-0.0215367,-0.0509361,-0.198105,-0.195099,400.0,0.282672,-1.7095,-0.7896,4.9896,5.3331,75.5806,75.3679,79.6189,-14.3231,7.34692,-3.72067,16.5218,-258.76,96.2868,-34.0813,278.189,0.0823583,s20140924_123536_3110
19024747,39,-0.158628,-0.0696633,-0.023234,-0.0673262,-0.206137,-0.144609,400.0,0.260647,-1.5619,-0.73495,4.86021,5.15764,71.9125,65.0345,75.0306,-16.1293,8.0507,-3.96672,18.4581,-74.931,35.1165,-24.7939,86.3861,0.0803367,s20140924_123536_3110
19024748,40,-0.159377,-0.0717599,-0.0244415,-0.0821741,-0.212804,-0.0978949,400.0,0.248237,-1.4316,-0.5183,4.39449,4.65077,68.886,49.9895,70.6686,-15.8217,8.04924,-4.21655,18.2454,92.8019,-28.487,-22.059,99.5505,0.0782401,s20140924_123536_3110
19024749,41,-0.160268,-0.0739095,-0.0252104,-0.0959583,-0.216503,-0.0567192,400.0,0.243513,-1.29274,-0.1835,3.87757,4.09151,66.0962,30.5866,66.7928,-14.2733,7.48096,-4.40789,16.7069,154.152,-65.3594,6.00141,167.543,0.0760905,s20140924_123536_3110
19024750,42,-0.16129,-0.0760775,-0.0255919,-0.108029,-0.216474,-0.0203434,400.0,0.242786,-1.03658,0.1564,3.48084,3.63528,63.479,10.6647,63.5795,-12.7386,6.74206,-4.09652,14.9837,102.39,-49.2897,62.6781,129.776,0.0739225,s20140924_123536_3110
19024751,43,-0.162417,-0.0782287,-0.0256277,-0.11669,-0.213375,0.0128977,400.0,0.24354,-0.6561,0.4009,3.37236,3.45891,61.3267,6.30728,61.3707,-12.2255,6.49517,-3.15433,14.1986,22.4493,-1.21117,110.852,113.108,0.0717713,s20140924_123536_3110
19024752,44,-0.16361,-0.0803389,-0.0253307,-0.121151,-0.208456,0.0471039,400.0,0.245663,-0.22905,0.5386,3.43913,3.48858,59.8356,21.2462,60.4515,-12.2897,6.71783,-1.87949,14.1314,115.556,-33.4623,144.265,187.844,0.0696611,s20140924_123536_3110
19024753,45,-0.164826,-0.0823947,-0.0246844,-0.121271,-0.202603,0.0816803,400.0,0.249853,0.2834,0.60605,2.77091,2.85053,59.0968,33.9617,60.9633,-9.91435,5.82592,-0.269033,11.5025,415.381,-173.485,180.719,485.076,0.0676053,s20140924_123536_3110
19024754,46,-0.166016,-0.0843896,-0.0237429,-0.115483,-0.196335,0.102522,400.0,0.249789,0.8996,0.6268,0.934185,1.44044,59.5362,41.5976,62.4629,-3.98203,3.24813,1.73489,5.42372,642.613,-268.295,208.172,726.821,0.0656104,s20140924_123536_3110
19024755,47,-0.167114,-0.0863214,-0.0227106,-0.103279,-0.190067,0.100364,400.0,0.238464,1.45484,0.6124,-1.12086,1.93596,61.4811,44.1799,64.3354,2.93791,0.460014,3.8944,4.89992,674.753,-251.932,220.469,753.238,0.0636786,s20140924_123536_3110
19024756,48,-0.168066,-0.0881919,-0.021796,-0.0863861,-0.184087,0.0801047,400.0,0.218557,1.81891,0.5619,-2.61577,3.23518,64.8608,42.8394,66.7181,9.51303,-1.79051,6.14427,11.4654,650.558,-208.771,224.215,719.085,0.0618081,s20140924_123536_3110
19024757,49,-0.168833,-0.0900056,-0.0211478,-0.0669008,-0.178829,0.0480486,400.0,0.196886,1.97771,0.4387,-3.54682,4.08457,69.4889,35.6862,70.1357,15.9491,-3.7154,8.37869,18.3951,581.028,-166.865,187.736,632.995,0.0599944,s20140924_123536_3110
19024758,50,-0.169402,-0.0917743,-0.0208577,-0.0468319,-0.175313,0.00916825,400.0,0.181692,1.96703,0.212,-4.08007,4.53444,75.0436,11.0767,75.0631,21.1336,-5.1278,9.89899,23.8938,306.457,-80.3487,59.0402,322.27,0.0582257,s20140924_123536_3110
19024759,51,-0.169773,-0.0935211,-0.0209773,-0.0275602,-0.174589,-0.0335528,400.0,0.179907,1.8075,-0.0817,-4.22434,4.59552,81.0294,50.6004,81.1881,22.0782,-5.32238,9.5595,24.6406,-241.856,58.3477,-145.247,288.089,0.0564789,s20140924_123536_3110
19024760,52,-0.169961,-0.0952763,-0.0215256,-0.0106819,-0.176947,-0.0753185,400.0,0.192606,1.4218,-0.33825,-3.49516,3.78841,86.5454,81.928,86.8208,16.2965,-3.96085,6.99406,18.1709,-767.328,166.528,-300.548,840.746,0.0547237,s20140924_123536_3110
19024761,53,-0.170004,-0.0970669,-0.0224382,0.000875807,-0.181354,-0.103456,400.0,0.20879,0.814002,-0.47575,-1.78688,2.02036,90.2767,90.485,90.2403,6.73165,-1.99181,3.54854,7.86604,-858.26,173.801,-311.191,929.332,0.0529331,s20140924_123536_3110
19024762,54,-0.169966,-0.0989058,-0.0235263,0.00559813,-0.186462,-0.111056,400.0,0.217101,0.200307,-0.49755,-0.0655,0.540342,91.7197,92.8857,91.4776,-0.868725,-0.484832,0.770238,1.25818,-578.359,123.604,-232.542,635.495,0.0510942,s20140924_123536_3110
19024763,55,-0.16991,-0.100795,-0.024613,0.00488195,-0.191305,-0.104766,400.0,0.218168,-0.260339,-0.3737,0.982615,1.08303,91.4618,92.668,91.2822,-4.83554,0.480268,-1.10231,4.98279,-282.231,79.7038,-157.583,332.925,0.049205,s20140924_123536_3110
19024764,56,-0.169881,-0.102724,-0.025598,0.000391348,-0.193936,-0.0914037,400.0,0.214397,-0.555744,-0.0741,1.49144,1.59335,90.1156,90.2453,90.1046,-6.51334,1.10924,-2.38143,7.02319,-107.915,48.4532,-102.23,156.347,0.047276,s20140924_123536_3110
19024765,57,-0.169909,-0.104661,-0.0264308,-0.00623292,-0.192787,-0.0749371,400.0,0.206933,-0.685317,0.259,1.647,1.8026,88.1482,85.2453,88.274,-6.99384,1.44933,-3.14691,7.80496,-5.91861,19.6804,-48.0164,52.2296,0.045339,s20140924_123536_3110
19024766,58,-0.170007,-0.106571,-0.0270967,-0.013315,-0.188756,-0.0584636,400.0,0.198051,-0.666374,0.4288,1.51766,1.71207,85.965,77.1698,86.1451,-6.63171,1.50285,-3.34175,7.57664,70.8837,-6.62781,7.63663,71.6013,0.043429,s20140924_123536_3110
19024767,59,-0.170173,-0.108435,-0.0276087,-0.0195604,-0.184211,-0.044584,400.0,0.190536,-0.553505,0.39665,1.20603,1.38499,83.9388,66.3114,84.1077,-5.57617,1.31677,-2.99417,6.46472,117.577,-23.4137,46.6806,128.653,0.041565,s20140924_123536_3110
19024768,60,-0.170394,-0.110259,-0.0280006,-0.0243851,-0.180823,-0.034343,400.0,0.185664,-0.4242,0.28365,0.87625,1.01401,82.3196,54.6235,82.453,-4.28017,1.03458,-2.40814,5.0189,102.482,-23.1943,51.0841,116.834,0.039741,s20140924_123536_3110
19024769,61,-0.170657,-0.112055,-0.0283054,-0.0280444,-0.178538,-0.027059,400.0,0.182742,-0.342625,0.17765,0.68908,0.789799,81.073,43.9755,81.1722,-3.52653,0.852888,-1.97249,4.12971,26.0458,-8.00744,29.023,39.81,0.037945,s20140924_123536_3110
19024770,62,-0.170953,-0.113833,-0.0285444,-0.0312376,-0.17727,-0.0205614,400.0,0.181172,-0.32522,0.0803,0.70697,0.782319,80.0062,33.354,80.0715,-3.75925,0.874427,-1.82768,4.27048,-48.513,8.01576,6.09241,49.5467,0.036167,s20140924_123536_3110
19024771,63,-0.171282,-0.115603,-0.0287128,-0.0345488,-0.176932,-0.0129196,400.0,0.180736,-0.342035,0.0023,0.832371,0.899909,78.9511,20.5034,78.9797,-4.49679,1.0132,-1.85064,4.96715,-73.557,14.6567,-7.6917,75.3964,0.034397,s20140924_123536_3110
19024772,64,-0.171645,-0.117374,-0.0287982,-0.0380783,-0.177224,-0.00391397,400.0,0.181311,-0.373595,-0.02585,0.970972,1.04069,77.8738,5.86867,77.8767,-5.23039,1.16756,-1.98152,5.71372,-62.332,13.2143,-20.1909,66.8399,0.032626,s20140924_123536_3110
19024773,65,-0.172045,-0.119148,-0.0287864,-0.0420207,-0.177449,0.00649985,400.0,0.182472,-0.415765,0.02945,1.07559,1.15352,76.6775,8.79294,76.6861,-5.74343,1.27749,-2.25446,6.30091,-19.2373,2.60625,-28.9717,34.8744,0.030852,s20140924_123536_3110
